"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1482922","Acyl chain remodelling of PI","1/5","5/2843",0.00876880102305477,0.0524279411647784,0.0275936532446202,"PLA2G2A",1
"R-HSA-1566977","Fibronectin matrix formation","1/5","5/2843",0.00876880102305477,0.0524279411647784,0.0275936532446202,"CEACAM8",1
"R-HSA-1482925","Acyl chain remodelling of PG","1/5","6/2843",0.0105151562009561,0.0524279411647784,0.0275936532446202,"PLA2G2A",1
"R-HSA-3232118","SUMOylation of transcription factors","1/5","6/2843",0.0105151562009561,0.0524279411647784,0.0275936532446202,"MITF",1
"R-HSA-1482801","Acyl chain remodelling of PS","1/5","7/2843",0.0122590491227028,0.0524279411647784,0.0275936532446202,"PLA2G2A",1
"R-HSA-6803157","Antimicrobial peptides","1/5","8/2843",0.0140004823929379,0.0524279411647784,0.0275936532446202,"PLA2G2A",1
"R-HSA-1482788","Acyl chain remodelling of PC","1/5","9/2843",0.015739458614467,0.0524279411647784,0.0275936532446202,"PLA2G2A",1
"R-HSA-1482839","Acyl chain remodelling of PE","1/5","10/2843",0.0174759803882595,0.0524279411647784,0.0275936532446202,"PLA2G2A",1
"R-HSA-1483166","Synthesis of PA","1/5","14/2843",0.0243975749611878,0.0650601998965007,0.0342422104718425,"PLA2G2A",1
"R-HSA-6805567","Keratinization","1/5","18/2843",0.031280105970708,0.0682475039360901,0.0359197389137316,"KLK8",1
"R-HSA-6809371","Formation of the cornified envelope","1/5","18/2843",0.031280105970708,0.0682475039360901,0.0359197389137316,"KLK8",1
"R-HSA-977225","Amyloid fiber formation","1/5","26/2843",0.0449286391578784,0.0898572783157567,0.0472933043767141,"CALB1",1
"R-HSA-168249","Innate Immune System","2/5","235/2843",0.0575642555073649,0.106272471705904,0.0559328798452128,"PLA2G2A/CEACAM8",2
"R-HSA-202733","Cell surface interactions at the vascular wall","1/5","41/2843",0.0701048552102501,0.120179751789,0.0632525009415791,"CEACAM8",1
"R-HSA-1483206","Glycerophospholipid biosynthesis","1/5","49/2843",0.0833133816872257,0.133301410699561,0.0701586372102953,"PLA2G2A",1
"R-HSA-1483257","Phospholipid metabolism","1/5","60/2843",0.101229593805206,0.151844390707809,0.0799181003725312,"PLA2G2A",1
"R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","1/5","71/2843",0.118864573268697,0.162721304317181,0.0856427917458848,"MITF",1
"R-HSA-2990846","SUMOylation","1/5","73/2843",0.122040978237886,0.162721304317181,0.0856427917458848,"MITF",1
"R-HSA-1474244","Extracellular matrix organization","1/5","81/2843",0.134655125451319,0.170090684780614,0.0895214130424283,"CEACAM8",1
"R-HSA-6798695","Neutrophil degranulation","1/5","128/2843",0.205867857936626,0.247041429523951,0.130021805012606,"CEACAM8",1
"R-HSA-109582","Hemostasis","1/5","150/2843",0.237548383757896,0.271483867151881,0.142886245869411,"CEACAM8",1
"R-HSA-1266738","Developmental Biology","1/5","205/2843",0.312344663703485,0.340739633131074,0.179336649016355,"KLK8",1
"R-HSA-556833","Metabolism of lipids","1/5","226/2843",0.339303130741416,0.354055440773651,0.186344968828237,"PLA2G2A",1
