"ID_REF"	"GSM1847063"	"GSM1847064"	"GSM1847065"	"GSM1847066"	"GSM1847067"	"GSM1847068"	"GSM1847069"	"GSM1847070"
"ILMN_1212607"	5.734914	4.0608	9.672722	13.98826	5.125032	9.517137	3.680094	14.48841
"ILMN_1212612"	-7.181993	-5.265752	-4.927205	-0.4194166	0.5005863	-5.287904	2.808511	-2.220977
"ILMN_1212619"	27.12186	32.64736	32.0128	29.24344	0.6266058	9.889877	4.73768	5.365715
"ILMN_1212628"	-10.30912	-11.15135	-4.651636	-8.818722	-6.332463	-5.579274	-5.857932	-4.983382
"ILMN_1212632"	4.835389	0.999213	3.120354	-0.3153021	2.118844	-1.781067	10.11924	1.096447
"ILMN_1212636"	1003.583	1070.862	972.8586	907.748	1178.999	1198.82	1148.176	1046.769
"ILMN_1212637"	293.5149	327.6408	326.5423	309.3324	312.5866	335.7927	278.273	310.2038
"ILMN_1212645"	11.25665	9.128405	8.77523	4.872758	3.966239	-2.978197	6.143127	8.566072
"ILMN_1212648"	101.1094	86.11961	110.1001	88.68152	108.7962	83.54115	100.6979	90.19769
"ILMN_1212653"	22.26018	30.18901	35.18465	13.95727	23.07516	36.7709	21.13586	27.7076
"ILMN_1212672"	129.3182	164.6859	159.7568	137.88	160.6383	180.1081	190.8441	188.9578
"ILMN_1212682"	14.80911	13.02896	13.75185	24.7599	20.61389	15.88274	8.009744	11.54257
"ILMN_1212683"	1.445681	-5.804067	1.523801	-6.729055	-11.79223	-5.834588	-4.515396	-8.843038
"ILMN_1212685"	-5.21732	0.7394913	4.41888	-2.013369	3.197037	-4.523888	6.361153	0.02000314
"ILMN_1212692"	6.442737	7.235236	4.929324	-0.6931869	4.32519	2.823532	2.646683	1.594516
"ILMN_1212693"	46.22375	52.12999	54.52629	58.46332	44.71101	38.55607	44.51791	47.39413
"ILMN_1212695"	33.50771	36.46585	30.67248	59.87028	10.02999	17.13492	28.00521	11.10327
"ILMN_1212698"	-2.136585	-2.98167	1.39115	-3.727762	-4.919637	-2.931727	0.2520731	-2.62016
"ILMN_1212702"	22.54808	116.5024	110.9514	104.5853	619.4186	235.5604	217.823	1841.401
"ILMN_1212703"	33.39452	36.84438	31.6325	31.90874	26.78717	28.5852	21.9389	25.69901
"ILMN_1212716"	23.80449	13.44847	22.379	47.13154	8.056457	7.381181	13.64334	10.29894
"ILMN_1212717"	68.67535	64.69602	61.9323	88.84741	56.11438	56.24437	60.89273	53.07293
"ILMN_1212720"	8.49547	12.96815	15.18269	14.84911	18.36473	18.9414	15.73251	17.90693
"ILMN_1212724"	-4.980162	-7.651442	-4.501119	-9.04573	1.677185	-10.28473	-6.461884	-3.81616
"ILMN_1212752"	-0.5129883	-2.963292	3.240047	2.610931	1.6983	2.88482	10.65489	-0.3426306
"ILMN_1212759"	134.8203	121.8113	121.904	122.3029	147.3373	139.7462	134.4766	119.2869
"ILMN_1212762"	-4.224077	-6.178456	-4.728086	-0.5917761	-6.92753	-8.115489	-5.852857	-5.422911
"ILMN_1212782"	-4.402429	-0.8264076	2.845728	-1.514599	0.2112835	-1.638101	-3.793154	-0.9087049
"ILMN_1212791"	11.53046	13.41484	7.563307	15.63006	18.48804	25.10126	22.50924	12.39195
"ILMN_1212794"	133.0256	141.8396	159.1953	140.5056	94.78796	113.405	147.8723	110.8782
"ILMN_1212799"	-7.177909	-11.66366	-8.929873	-8.291985	-0.3352634	-8.569499	-3.438441	-7.939669
"ILMN_1212804"	-0.8243915	-1.246621	-7.268146	0.9034203	1.548663	-6.493758	0.6788424	-2.426565
"ILMN_1212812"	2.167128	5.96827	0.6854504	0.4439943	1.382171	2.744907	5.971836	4.558822
"ILMN_1212823"	-3.665501	-0.2580091	-2.374805	-3.984308	-4.200846	-3.785944	-2.980432	5.614046
"ILMN_1212828"	-1.374479	-8.950424	-2.652398	-6.981801	3.133343	-4.889413	-5.129088	1.387943
"ILMN_1212835"	6.162898	1.302321	8.189889	10.09162	7.3774	9.103554	2.272967	0.2203777
"ILMN_1212836"	163.9287	149.0089	118.0381	109.5547	114.4134	71.09013	97.43224	123.9666
"ILMN_1212840"	-1.715991	11.05755	2.334662	-0.7464468	1.609516	3.452527	-0.5813066	4.109596
"ILMN_1212850"	7.123824	4.016057	5.133745	4.524174	3.306641	8.411364	15.33935	13.48707
"ILMN_1212854"	1.407072	3.700143	-2.448772	-2.150693	-3.100497	3.378746	-4.255925	2.606102
"ILMN_1212875"	-6.52233	-5.913295	-0.7422687	-4.925834	-3.067164	-7.460994	-0.8603613	-1.135218
"ILMN_1212878"	-0.405204	-1.012703	-5.680681	0.7946222	-5.971621	-1.659702	-1.831987	-7.344999
"ILMN_1212884"	-3.294117	-2.57495	-5.458538	-6.715005	-6.076499	-6.004064	-4.265349	0.8071669
"ILMN_1212894"	317.1046	349.6514	298.9361	322.4284	288.9388	266.5136	295.6589	326.627
"ILMN_1212902"	24.18792	20.95181	15.50744	18.87508	13.53899	17.42544	5.336014	5.866866
"ILMN_1212906"	7.81555	11.70003	-1.152104	4.278323	8.034453	4.056693	9.759402	3.985525
"ILMN_1212907"	-1.752373	1.21009	0.6118439	-8.870155	-3.537882	-2.404081	1.267037	0.8788546
"ILMN_1212921"	-0.0858032	1.567466	3.991319	-0.7782261	2.629674	-1.087196	0.4132336	4.113049
"ILMN_1212935"	3.149553	0.3635576	2.918177	-3.538918	-3.077517	2.824895	1.414692	-0.2025129
"ILMN_1212938"	117.2183	94.98931	92.38589	122.2422	54.62219	36.95211	44.99455	37.3373
"ILMN_1212939"	-5.477834	-0.5858652	-5.575532	-8.776831	-0.9670641	-5.566617	-3.030837	-3.83703
"ILMN_1212941"	862.8731	654.9038	771.1406	772.8143	1216.978	1178.999	910.5445	854.67
"ILMN_1212949"	17.27863	0.09023745	14.39245	8.47758	7.099912	6.639929	8.926798	14.41836
"ILMN_1212953"	-2.80964	-3.750421	-6.496482	-4.100201	-4.543904	2.254148	-2.414089	-0.3096945
"ILMN_1212966"	-0.9320785	-1.525461	-3.648768	-0.2117168	-4.112719	-3.057243	2.875589	4.391247
"ILMN_1212975"	133.3489	143.6437	137.2898	158.0971	137.9664	148.4401	137.88	131.9926
"ILMN_1212980"	-0.4297888	-5.409177	-5.564076	-0.3599941	-0.001364882	-7.033682	-3.955065	-2.123934
"ILMN_1212982"	140.8945	134.1786	117.6028	110.0661	134.9022	117.6028	146.5426	155.6557
"ILMN_1212993"	55.27009	61.47765	60.34454	59.9096	76.1031	76.08229	66.90769	100.6979
"ILMN_1212997"	2.897516	5.347231	4.489219	5.205193	15.85044	9.820798	4.734149	4.289467
"ILMN_1212998"	-3.637223	-1.664178	-1.681908	2.589323	-0.8841059	1.742352	-4.707695	-2.372361
"ILMN_1213001"	344.1423	416.3818	376.428	565.9619	354.4913	336.9871	360.084	303.3135
"ILMN_1213002"	-1.62196	-12.39642	-2.440588	-0.6577875	-5.615634	-5.450189	-6.122987	-7.00886
"ILMN_1213014"	38.632	36.88103	37.58941	34.16489	45.48952	44.05725	53.60905	44.71101
"ILMN_1213024"	-2.397804	2.473097	1.761013	3.134619	-2.114421	0.5232962	9.109351	2.156764
"ILMN_1213026"	148.4768	171.0994	184.949	169.0692	208.6351	200.4364	195.5278	193.4366
"ILMN_1213030"	68.69575	67.37109	73.57305	75.70036	84.96478	68.89346	72.38335	66.7104
"ILMN_1213053"	13.85125	23.19063	2.997226	3.493147	12.51349	7.418102	14.49889	7.225389
"ILMN_1213055"	391.9436	456.3795	487.2735	495.4605	509.0731	524.7828	568.9024	563.876
"ILMN_1213056"	-7.398886	-3.313118	1.496084	2.479483	1.25881	-1.874965	-3.670956	-0.4014093
"ILMN_1213068"	54.05384	42.90626	50.38985	43.86469	74.78502	65.98934	60.98782	74.2737
"ILMN_1213070"	808.407	940.615	1060.039	795.5481	855.2983	880.1874	954.1467	914.8893
"ILMN_1213093"	2.73178	7.469968	3.420014	6.766768	15.11586	10.27133	12.26546	6.157124
"ILMN_1213096"	-4.023924	2.352372	-3.629812	-0.1379797	-8.444828	3.347849	-7.131201	-3.492225
"ILMN_1213101"	18.39588	20.44623	25.08064	29.0019	20.64991	22.53852	32.68893	26.74129
"ILMN_1213110"	3.955407	23.87973	13.84364	5.506113	14.72227	6.086995	12.0282	10.38025
"ILMN_1213117"	64.01363	63.11017	74.73454	53.57442	108.4104	111.9592	99.52979	90.09541
"ILMN_1213123"	4.957113	2.474956	4.445556	0.6321037	-2.070551	5.87466	3.533682	-5.546879
"ILMN_1213124"	-1.814038	-5.236752	1.485966	2.002473	-4.546659	-2.258174	-6.795893	-0.3719313
"ILMN_1213136"	-0.1327917	7.35906	-1.600407	6.213159	1.577853	-1.623044	-1.170237	3.523576
"ILMN_1213139"	2.828911	6.828207	-4.321046	0.2333067	0.7061756	0.713311	5.115135	7.260819
"ILMN_1213144"	364.6581	423.5689	390.4101	451.1331	369.0706	373.9395	390.066	413.4308
"ILMN_1213148"	83.92242	100.6529	99.66537	80.55275	157.1544	141.1305	122.9934	127.6684
"ILMN_1213167"	516.7305	489.769	499.5919	546.1818	642.4333	634.114	576.8167	544.7687
"ILMN_1213200"	237.5806	193.3178	218.8978	205.9873	195.1844	172.3642	221.6485	171.8838
"ILMN_1213216"	-0.3153021	4.096784	-11.08369	-3.18981	-5.190671	-4.025298	-2.888706	0.4657381
"ILMN_1213222"	7.274429	-1.683229	-0.3145801	-0.5734007	-3.377998	-3.755334	-5.391208	-0.3523371
"ILMN_1213231"	683.8959	630.9516	671.1292	792.8958	758.662	794.9981	768.1783	682.6722
"ILMN_1213257"	-5.95262	-7.577221	-2.403355	-6.397936	2.382285	6.550631	5.452879	-2.259957
"ILMN_1213265"	-0.3185169	-5.176149	-1.421638	-2.163197	-7.251464	1.024098	-3.333744	-4.47498
"ILMN_1213268"	5.945791	-0.6822378	3.779974	12.95121	10.23568	0.3704069	1.446733	11.66327
"ILMN_1213273"	252.7226	255.8927	221.5254	199.5028	256.9067	267.605	257.5074	237.9624
"ILMN_1213275"	-4.610208	6.859871	-2.05625	3.533682	-2.588178	5.152457	4.64248	7.340317
"ILMN_1213286"	88.84741	83.95677	55.03044	163.6106	79.54703	65.19587	57.954	49.36756
